slug,name,description,ministry,department,state,category,beneficiary_type,benefits,eligibility_text,application_process,documents_required,apply_url,official_url,eligibility_age_min,eligibility_age_max,eligibility_gender,eligibility_caste,eligibility_income_max,eligibility_residence,eligibility_state,eligibility_disability,eligibility_bpl,scraped_at
iteams,Integrated Technology Enabled Agriculture Management System Or iTEAMS,"The scheme was launched by the Department of Agriculture & Farmers’ Welfare, Govt. of Meghalaya to address critical issues of enabling & facilitating access to remunerative & sustainable markets for farmers produce in most transparent & effective manner through facilitation service iTEAM Dial 1917.",,Agriculture Department,Meghalaya,"Agriculture,Rural & Environment",Individual,"> **Pattern of Assistance:**

- Free Telephonic advisory, Access to Subject Matter Specialist (SMS), Transport services.

> **Type of Assistance and Entitlement (If any):**

  - Telephone advice, free mobile SMS to registered farmers, transport service to evacuate farmers&amp;#39; produce to markets at the rate of INR 2.00 per KM per Quintal.","1. The applicant should be a resident of Meghalaya.
1. The applicant should be a bonafide farmer engaged in agriculture.","[Online]
Registration Process:The bonafide farmers of Meghalaya can dial 1917 from any mobile phone to register with 1917 iTEAMS.
Mode of Selection of Beneficiary(s):Open to all farmers and buyers to register.
Whom to Contact:Dial the 1917 TOLL-FREE Number to register.","An active Mobile Number
Other documents as required",https://megagriculture.gov.in/PUBLIC/schemes_ShowSchemesA.aspx?schid=83,https://www.myscheme.gov.in/schemes/iteams,,,all,[],,both,"[""Meghalaya""]",False,False,2026-07-05 09:38:35.336+00
ivdp,Integrated Vegetable Development Program,The scheme aims to increase vegetable production in all district headquarters and within a 20 km radius of industrial establishments in Madhya Pradesh through integrated vegetable development.,,Horticulture and Food Processing Department,Madhya Pradesh,"Agriculture,Rural & Environment",Individual,"- **For General Category Farmers:** Financial assistance of ₹1,500/- per hectare, including ₹1,400/- for hybrid/improved seeds and ₹100/- for seed treatment medicine.  - **For Scheduled Caste/Scheduled Tribe Farmers:** Financial assistance of ₹2,250/- per hectare, including ₹2,100/- for hybrid/improved seeds and ₹150/- for seed treatment medicine.
<br>","- The applicant must be a farmer.
  - The applicant must be a resident of Madhya Pradesh.
  - The applicant must belong to the General/ Scheduled Caste/ Scheduled Tribe category.

<br>","[Offline]
The applicant should contact the District Office of the Horticulture Department.","Proof of Identity.
Residence Certificate.
Caste Certificate.
Any other documents as required.",https://cmhelpline.mp.gov.in/schemes.aspx?vID=0,https://www.myscheme.gov.in/schemes/ivdp,,,all,"[""SC"",""ST"",""General""]",,both,"[""Madhya Pradesh""]",False,False,2026-07-05 09:42:45.589+00
ics,Intensive Castration Scheme,"The ""Intensive Castration Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to control the stray animal population by castrating male calves and helps in reducing accidents caused by stray male animals in rural and urban areas.",,"Agriculture, Farmers Welfare and Cooperation Department",Gujarat,"Agriculture,Rural & Environment",Individual,- **Financial Assistance:** An amount of ₹500/- subsidy per animal (male calf) for castration by close method (Burdizo Castrator)/open method (Surgical Method).,"- The applicant must be an individual livestock owner or an animal-rearing organization (Gaushala/Panjarapol/others).
  - The male calf must be castrated through the close or open method.","[Online]
Step 1: The applicant may visit and apply online at I-Khedut Portal: https://ikhedut.gujarat.gov.in/
Step 2: On the home page, click on ‘Schemes’ and then click on ‘Animal Husbandry Schemes’.
Step 3: Now select the scheme, click on the ‘Apply’ button and an application page will open.
Step 4: Click on ""Apply New"" button and submit a new application.
Step 5: Click on the ""Update Application"" button to add corrections to the application.
Step 6: Once the application is done, confirm it.
Step 7: Take a print out of the confirmed application and submit Related Documents through to concern Taluka office.
Step 8: Applicant can also check their Application Status/View/Print/Upload Application details from the below link: https://ikhedut.gujarat.gov.in/public/frm_Applicant_Corner.aspx 
Contact Us: Click here.","Copy of barcoded ration card or Institute’s registration number.
Copy of government-issued photo identification (Aadhaar card/ Voter ID/ Driving License/ Kisan Credit Card).
Copy of bank passbook or cancelled cheque.",https://agri.gujarat.gov.in/Home/SchemesDetailsPage?Id=picXjrkWac6JiCP+hnZI2Q==&domain=12ewfiAgGqKRe600IL5Z/w==,https://www.myscheme.gov.in/schemes/ics,,,all,[],,both,"[""Gujarat""]",False,False,2026-07-05 09:33:07.407+00
socfwv,Intensive Fisheries Development Programme - Subsidy on Commercial Four-Wheeler Vehicles,"The scheme aims to strengthen the fisheries value chain by providing transportation support to fish farmers. Under this scheme, eligible fish farmers receive a subsidy of 25% of the actual cost on the purchase of a commercial four-wheeler vehicle used for fisheries-related activities.",,Fisheries Department,Haryana,"Agriculture,Rural & Environment, Transport & Infrastructure",Individual,"- Subsidy under the scheme is provided at the rate of 25% of the actual cost of the four-wheeler (₹9 lakh) or ₹2.25 lakh, whichever is lower.

<br>","1. The applicant should be a permanent resident of Haryana.
1. The applicant should possess a valid Parivar Pehchan Patra (PPP).
1. The applicant should be at least 18 years of age.","[Offline]
Registration Process on Antyodaya-SARAL Portal:Step 1: Visit the Official Portal: Antyodaya-SARAL Portal.
Step 2: For registration, click on “New User/Register Here” and fill in all the mandatory details i.e. Name, Email ID, Mobile Number & password. Click on ‘Submit’.
Step 3: Verify the OTP received in the provided Email and Mobile Number. Alternatively, click on the Verification Link to activate the profile.
Login to Apply for the Scheme:Step 1: Visit the Official Portal: Antyodaya-SARAL Portal.
Step 2: The “Sign in here” option is available on the right side of the screen. Fill in the required credentials and click on the ‘Login’ button.
Step 3: In the opened window, click on “Scheme/Services list” and a list of schemes will appear on the screen.
Step 4: Now, select the scheme and click on “Apply for Service/Scheme”.
Step 5: Fill in all the details in the online application form and click on ""Submit"".
Track Your Service Online:Track Application/Appeal: Click here.
Track Ticket: Click here.
Track Your Service Through SMS:Registered Mobile Number: Type SARAL and send to 9954699899 to track your application.
Other Mobile Number: Type SARAL<space><Application ID/Ticket No.> and send to 9954699899 to track your application/ticket.
Contact Us: Helpline: 0172-3968400
Email: saral.haryana@gov.in
Fees For Service:Government Charges: ₹0 (No Fee)
Service Charges: ₹10
Atal Seva Kendra Charges: ₹10

[Online - via CSC]
The eligible applicant may visit the nearest Atal Seva Kendra with all the required documents to apply for the scheme.","Agreement Letter-1 (Agreement letter between the fisheries farmer and the department)
Birth Certificate (Date of birth certificate / Class ten (10th) certificate / PAN Card / Voter ID Card / Driver's License)
Identity Proof (Ration Card / Aadhaar Card / PAN Card / Voter ID Card)
Applicant's fisheries training certificate from any government institution
GST bill/receipt/voucher/insurance of the purchased vehicle
Photograph of the vehicle purchased by the applicant
Applicant/Driver's Driving License",https://kms.saralharyana.nic.in/ViewDoc?Id=f5znw7Ta+lEjFDcziGz%2frA%3d%3d,https://www.myscheme.gov.in/schemes/socfwv,18.0,,all,[],,both,"[""Haryana""]",False,False,2026-07-05 10:20:07.631+00
soipfsci,Intensive Fisheries Development Programme - Subsidy on Insurance Premium for Shrimp Crop Insurance ,"The scheme aims to promote sustainable aquaculture by reducing financial risk of shrimp farmers through subsidized insurance coverage.Under this scheme, a 50% subsidy is provided on insurance premium paid by eligible fish farmers for shrimp crop insurance, helping them mitigate potential crop losses",,Fisheries Department,Haryana,"Agriculture,Rural & Environment, Banking,Financial Services and Insurance",Individual,"- 50% subsidy on the insurance premium paid for shrimp crop insurance.

<br>","1. The applicant should be a permanent resident of Haryana.
1. The applicant should be a farmer and involved in shrimp farming.
1. The applicant should possess a valid Parivar Pehchan Patra (PPP ID).
1. The applicant should be at least 18 years of age.

<br>","[Online]
Registration Process on Antyodaya-SARAL Portal:Step 1: Visit the Official Portal: Antyodaya-SARAL Portal.
Step 2: For registration, click on “New User/Register Here” and fill in all the mandatory details i.e. Name, Email ID, Mobile Number & password. Click on ‘Submit’.
Step 3: Verify the OTP received in the provided Email and Mobile Number. Alternatively, click on the Verification Link to activate the profile.
Login to Apply for the Scheme:Step 1: Visit the Official Portal: Antyodaya-SARAL Portal.
Step 2: The “Sign in here” option is available on the right side of the screen. Fill in the required credentials and click on the ‘Login’ button.
Step 3: In the opened window, click on “Scheme/Services list” and a list of schemes will appear on the screen.
Step 4: Now, select the scheme and click on “Apply for Service/Scheme”.
Step 5: Fill in all the details in the online application form and click on ""Submit"".
Track Your Service Online:Track Application/Appeal: Click here.
Track Ticket: Click here.
Track Your Service Through SMS:Registered Mobile Number: Type SARAL and send to 9954699899 to track your application.
Other Mobile Number: Type SARAL<space><Application ID/Ticket No.> and send to 9954699899 to track your application/ticket.
Contact Us: Helpline: 0172-3968400
Email: saral.haryana@gov.in
Fees For Service:Government Charges: ₹0 (No Fee)
Service Charges: ₹10
Atal Seva Kendra Charges: ₹10

[Offline]
The eligible applicant may visit the nearest Atal Seva Kendra with all the required documents to apply for the scheme.","Agreement 1 - Agreement Deed between Fish Farmer and fisheries department
Date of Birth Certificate - Birth Certificate/Matriculation Certificate/PAN Card/Voter Card/Driving License
Identity Proof – Ration Card/Aadhar Card/PAN Card/Voter Card
Training Certificate – Fisheries Training from any Government Institute
Land Record - Land record from Tehsil(Own Land-Jamabandi, Nakal Akshizra, Farad) or registered lease deed
GST Bills/Receipts/Vouchers",https://kms.saralharyana.nic.in/ViewDoc?Id=53qw4NEGJqrtC0USZo3ijw%3d%3d,https://www.myscheme.gov.in/schemes/soipfsci,18.0,,all,[],,both,"[""Haryana""]",False,False,2026-07-05 10:04:28.739+00
safpofn,Intensive Fisheries Development Programme - Subsidy on Purchase of Fishing Nets (Scheduled Caste),"The scheme aims to provide financial assistance to individuals from Scheduled Caste families engaged in fishing activities for the purchase of fishing nets. Under this scheme, a 60% subsidy or up to ₹24,000, on the purchase of fishing nets worth ₹40,000/- will be provided to eligible beneficiaries.",,Fisheries Department,Haryana,"Agriculture,Rural & Environment",Individual,"**Financial Assistance is provided to Fish Farmers under the scheme:** 

- Financial assistance of 60% subsidy on the purchase of fishing nets of amounting to ₹40,000/-.
- The maximum subsidy amount is ₹24,000/-.

> **Note:** Subsidy is available only once in two years per beneficiary.","1. The applicant should be a permanent resident of Haryana.
1. The applicant should possess a valid Parivar Pehchan Patra (PPP).
1. The applicant should belong to the Scheduled Caste (SC) category.
1. The applicant should be at least 18 years old.
1. The applicant should present a GST-paid bill for the purchase of fishing nets.
1. The applicant can apply only once in two years for this subsidy.","[Online]
Registration Process on Antyodaya-SARAL Portal:Step 1: Visit the Official Portal: Antyodaya-SARAL Portal.
Step 2: For registration, click on “New User/Register Here” and fill in all the mandatory details i.e. Name, Email ID, Mobile Number & password. Click on ‘Submit’.
Step 3: Verify the OTP received in the provided Email and Mobile Number. Alternatively, click on the Verification Link to activate the profile.
Login to Apply for the Scheme:Step 1: Visit the Official Portal: Antyodaya-SARAL Portal.
Step 2: The “Sign in here” option is available on the right side of the screen. Fill in the required credentials and click on the ‘Login’ button.
Step 3: In the opened window, click on “Scheme/Services list” and a list of schemes will appear on the screen.
Step 4: Now, select the scheme and click on “Apply for Service/Scheme”.
Step 5: Fill in all the details in the online application form and click on ""Submit"".
Track Your Service Online:Track Application/Appeal: Click here.
Track Ticket: Click here.
Track Your Service Through SMS:Registered Mobile Number: Type SARAL and send to 9954699899 to track your application.
Other Mobile Number: Type SARAL<space><Application ID/Ticket No.> and send to 9954699899 to track your application/ticket.
Contact Us: Helpline: 0172-3968400
Email: saral.haryana@gov.in
Fees For Service:Government Charges: ₹0 (No Fee)
Service Charges: ₹10
Atal Seva Kendra Charges: ₹10

[Online - via CSC]
The eligible applicant may visit the nearest Atal Seva Kendra with all the required documents to apply for the scheme.","Agreement Letter-1 (Agreement letter between the farmer and the department for fisheries)
Birth Certificate (Date of birth certificate / Class ten (10th) certificate / PAN Card / Voter ID Card / Driver's License)
Identity Proof (Ration Card / Aadhaar Card / PAN Card / Voter ID Card)
Fisheries Training Certificate of the Applicant from any Government Institution
Caste Certificate (issued by a First-Class Magistrate)
GST Payment Bill/Receipt for Fishnet Purchase",https://kms.saralharyana.nic.in/ViewDoc?Id=cnYpPJWOdD+B7VjJNyVnMA%3d%3d,https://www.myscheme.gov.in/schemes/safpofn,18.0,,all,"[""SC""]",,both,"[""Haryana""]",False,False,2026-07-05 10:19:59.469+00
ssfschr,Intensive Fisheries Development Programme - Subsidy on Solar System for fish/shrimp culture,"Under this scheme, subsidies on solar systems for fish/shrimp culture are provided to eligible fish and shrimp farmers. The subsidy is given at 60% of the total project cost, or ₹30,000 per kW, whichever is lower. The maximum subsidy is limited to 30 kW for shrimp farmers and 10 kW for fish farmers.",,Fisheries Department,Haryana,"Agriculture,Rural & Environment",Individual,"1. A subsidy of 60% on the total project cost amounting to ₹50,000 per kilowatt (KW) or a subsidy amount of ₹30,000 per KW, whichever is less, is provided.
1. The maximum limit for this subsidy is 30 KW for shrimp farmers.
1. The maximum limit for this subsidy is 10 KW for fish farmers.","1. The applicant should have a Parivar Pehchaan Patra (PPP).
1. The applicant should be a permanent resident of Haryana.
1. The applicant&#39;s age should be a minimum of 18 years.
1. The applicant should not be a government or semi-government employee.
1. A minimum of 2.5-acre area is required for fish/shrimp culture. 

> **Note:** The benefit/subsidy will be provided only once to a beneficiary on a single unit.","[Online]
Registration Process on Antyodaya-SARAL Portal:Step 1: Visit the Official Portal: Antyodaya-SARAL Portal.
Step 2: For registration, click on “New User/Register Here” and fill in all the mandatory details i.e. Name, Email ID, Mobile Number & password. Click on ‘Submit’.
Step 3: Verify the OTP received in the provided Email and Mobile Number. Alternatively, click on the Verification Link to activate the profile.
Login to Apply for the Scheme:Step 1: Visit the Official Portal: Antyodaya-SARAL Portal.
Step 2: The “Sign in here” option is available on the right side of the screen. Fill in the required credentials and click on the ‘Login’ button.
Step 3: In the opened window, click on “Scheme/Services list”, and a list of schemes will appear on the screen.
Step 4: Now, select the scheme and click on “Apply for Service/Scheme”.
Step 5: Fill in all the details in the online application form and click on ""Submit"".
Track Your Service Online:Track Application/Appeal: Click here.
Track Ticket: Click here.
Track Your Service Through SMS:Registered Mobile Number: Type SARAL and send to 9954699899 to track your application.
Other Mobile Number: Type SARAL<space><Application ID/Ticket No.> and send to 9954699899 to track your application/ticket.
Contact Us:Helpline: 0172-3968400
Email: saral.haryana@gov.in
Note: Govt. Charges: No Fee Service Charges:   ₹ 10 Atal Seva Kendra Service Charges:  ₹ 10

[Online - via CSC]
The eligible applicant may visit the nearest Atal Seva Kendra with all the required documents to apply for the scheme.","Agreement Deed between Fish Farmer and Fisheries Department (Agreement 1).
Date of Birth Certificate (Birth Certificate, Matriculation Certificate, Permanent Account Number (PAN) Card, Voter Card, or Driving License).
Identity Proof (Ration Card, Aadhaar Card, PAN Card, or Voter Card).
Training Certificate (Fisheries Training from any Government Institute).
Land Record (from Tehsil, including Own Land-Jamabandi, Nakal Akshizra, Farad, or registered lease deed of minimum 7 years).
Goods and Services Tax (GST) Bills/Receipts/Vouchers.
Photograph of the Site along with Solar System for power generation.",https://kms.saralharyana.nic.in/ViewDoc?Id=03HBeefkD2f5ZmmyjW6BSg==,https://www.myscheme.gov.in/schemes/ssfschr,18.0,,all,[],,both,"[""Haryana""]",False,False,2026-07-05 09:56:46.949+00
islaaa,Interest Subsidy on Loans for Agriculture and Allied Activities,"“Interest Subsidy on Loans for Agriculture and Allied Activities” is a scheme by the Dept. of Fisheries, Govt. of Goa. The bonafide agriculturist, individual of the animal husbandry/fisheries sector from Goa are provided a loan of upto ₹ 5,00,000 for the purpose of Agriculture and Allied Activities.",,Fisheries Department,Goa,"Agriculture,Rural & Environment",Individual,"- Loan of upto ₹ 5,00,000.
- Interest Subsidy on Short-Term Loans: 4% to farmers who promptly repay their loans.
- Interest Subsidy on Long-Term Loans: Equal to the difference between a 4% interest rate and the normal rate charged by eligible Banks, in line with their policies. The subsidy is subject to a maximum limit of 8%.","> **For Inland Fisheries**

- The applicant should own or lease any of the fisheries-related activities, such as pond, tank, open water bodies, raceway, hatchery, rearing unit, possess the necessary license for fish farming and fishing-related activities, and any other state-specific fisheries and allied activities.
- The applicant may include fishers, fish farmers (individual &amp; groups/partners/share/croppers/tenants/farmers), self-help groups, joint liability groups, and women groups.

> **For Marine Fisheries**

- The applicant should own or lease a registered fishing vessel/boat, possess the necessary fishing license/permission for fishing in estuaries and sea, engage in fish farming/mariculture activities in estuaries and open sea, and participate in any other state-specific fisheries and allied activities.","[Offline]
Step 1: The interested applicant should request the prescribed format of the application form from the department.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form along with the documents to the concerned authority at the Department of Fisheries, Dayanand Bandodkar Marg, Patto Colony, Panaji Goa - 403 521, or to the official posted at BDO Office/ Sub-Offices of the Department of Fisheries.
Grievance RedressalAny dissatisfaction or complaint about any service or its standards can be registered with the Department's Grievance Redressal Officer. The grievance can also be lodged on the link dir-fish.goa@nic.in. All complaints will be acknowledged by us and final action taken will be communicated within 30 days.","Quotation Bill
Aadhaar Card of Applicant
Vessel Registration Certificate
Fishing & Net Licence Receipts
Letter From Bank to Avail Loan
Copy of Permission Letter Issued by Directorate of Fisheries to Construct Canoe/trawler/purseiner/purchase of New Net
Copy of Certificate Issued by Coastal Aquaculture Authority for Construction/renovation of Prawn Farming
Inspection Report From Fisheries Officer
Mandate Form",https://fisheries.goa.gov.in/schemes-services/,https://www.myscheme.gov.in/schemes/islaaa,,,all,[],,both,"[""Goa""]",False,False,2026-07-05 10:01:01.141+00
isaltlcss,Interest Subvention against long terms loan to the Co-operative sugar societies (Normal Area) (Tribal Area),"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide interest subvention on long-term loans taken by sugar cooperative societies for payment of sugarcane arrears for the year 2018-19.",,"Agriculture, Farmers Welfare and Cooperation Department",Gujarat,"Agriculture,Rural & Environment",Registered Societies,"<br>

**Name of the Component**	**Standard of Assistance**	**Minimum Time Limit (in Years) for Reclaiming Benefits**Interest Subvention against long terms loan to the Co-operative sugar societies	Interest actually paid on the bank loan amount taken by the Sugar Cooperative or 7% or whichever is less for a maximum period of 4 (four) years or interest concession on loan repayment (whichever is earlier).1 year of interest subvention to be paid by the Government of India from the date of withdrawal of this loan on the amount of bank loan taken by the State Sugar Co-operative Societies for affiliated purposes under the announced scheme for soft loan interest subvention on loans obtained for the payment of sugarcane arrears for the year 2018-19 for the respective sugarcane prices. Interest subvention paid by the State Government on interest actually payable or 7 percent or whichever is less for a maximum period of 4 (four) years or till the loan repayment (whichever is earlier)	<br>",- Sugar Co-operative Societies which have availed loan for payment of sugarcane arrears for the year 2018-19 for the respective sugarcane prices will be eligible for this scheme.,"[Offline]
The concerned sugar co-operative societies who are eligible, should send the proposal through the District Registrar of the concerned district to the Director of Sugar, Gujarat State, Gandhinagar.
Office Address and Contact Details of District Registrar: Click here.
Office Address and Contact Details of Director Of Sugar:
Director of sugarAddress: Dr.Jivraj Mehta bhavan, Block No.8 ,2nd floor, GandhinagarPhone: 232-53437Email Us: directorsugar[at]gmail[dot]com","Loan sanction letter from the bank.
Proof of loan utilization for sugarcane arrears payment.
FRP notification issued by the Government of India (02/03/2019).
Audit reports of the sugar cooperative society.
Loan repayment schedule and bank statements.
Any other documents as required.",https://agri.gujarat.gov.in/Home/SchemesDetailsPage?Id=zziRlXhnC5iwFvjYX3k+rA==&domain=XWitJVnGypIBbPyRipp0WA==,https://www.myscheme.gov.in/schemes/isaltlcss,,,all,[],,both,"[""Gujarat""]",False,False,2026-07-05 10:14:10.332+00
iss,Interest Subvention Scheme,The scheme aims to provide institutional credit for capital investments at reasonable interest rates and is implemented through the Karnataka State Financial Corporation (KSFC) in the state.,,Finance Department,Karnataka,Business & Entrepreneurship,"Individual, Industries, Business Entity","**Amount of Loan:**

  - The minimum loan size is ₹5.00 lakhs.
  - The maximum loan size is ₹500.00 lakhs for Micro and Small Manufacturing Enterprises.
  - ₹200.00 lakhs for manufacturing and allied services enterprises towards building, gross block of plant and machinery directly involved in production. The loan/s over and above these limits will carry contract rate of interest.

**Rate of Interest:**

  - KSFC shall sanction loans with prevailing contract rate of interest and the promoters shall pay the interest accordingly. To avail the interest subvention under the scheme, the beneficiary / borrower shall be regular in repayment of installments of all the loans availed by the Enterprises from KSFC. The effective interest rate to be paid by beneficiary /borrower is the difference of contract rate and interest subvention of 5.5% p.a. reimbursed by Government of Karnataka.

**Interest Subsidy [Subvention] Period:**

  - The unit is eligible for interest subsidy [subvention] for a period of 5 years from the date of first disbursement of the loan, even though if the repayment period extends beyond 5 years.","1. Enterprises promoted by all categories of borrowers, proprietary concerns, partnership firms, companies &amp;amp; other legal entities.
   1. The scheme is extended for all new investments in building, plant and machinery directly involved in production by new enterprises and existing enterprises by way of expansion, diversification, modernization and technology up-gradation etc., considering the gross block of plant and machineries.
   1. Purchase of land from KIADB / KSSIDC or any other govt. agencies is not available under this scheme.
   1. The unit which has already availed the interest subsidy under any other scheme of Government of Karnataka / Government of India are also not eligible for interest subsidy under this scheme.
   1. The enterprise will be eligible for 5.5% p.a. interest subvention for a maximum period of five years from the date of first disbursement of respective loans even if the repayment period exceeds beyond five years.

**Activities covered under this scheme:** 

  - Agro &amp;amp; Food Processing, Textile, Ready-made Garments, Engineering, Automobiles, Electrical &amp;amp; Electronics, Paper &amp;amp; Paper Products, Printing &amp;amp; Publishing, Telecommunications, Software &amp;amp; IT related and Wood based activities.

**Terms and Conditions:**

  - The terms and conditions of loan sanction such as promoters contribution, DER, Security requirement, viability of the project etc., shall be ensured as per the prevailing lending policy of the Corporation.","[Offline]
Step 1: The interested applicant should visit (during office hours) the Branch Office Untitled-1 and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications.
Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required).
Step 3: Submit the duly filled and signed application form along with the documents to the Branch Office.
Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Passport-size Photograph
Registration certificate
PAN Card 
Audited financial statements (if expanding an existing unit)
Bank account details for loan disbursement
Any other documents as specified by KSFC during the loan process",https://ksfc.karnataka.gov.in/english,https://www.myscheme.gov.in/schemes/iss,,,all,[],,both,"[""Karnataka""]",False,False,2026-07-05 09:41:10.611+00
ipwccb,Internship Programme Of The Wildlife Crime Control Bureau (MoEFCC),Internship at Wildlife Crime Control Bureau (WCCB) provides an excellent opportunity for students/researchers to familiarize themselves with various issues related to wildlife & the functioning of WCCB. The intern shall have an orientation session and will be assigned specific areas of work.,"Ministry Of Environment,forests and climate change",,Central,"Education & Learning, Agriculture,Rural & Environment",Individual,"- **Certificate of Internship:** Upon satisfactory completion of the internship, a certificate will be issued to the intern after the submission of the report.- **Duration:** The Internship Programme in Wildlife Crime Control Bureau will be conducted in two phases in a year, during the summer &amp; winter vacations of colleges. Each programme will be one month long, commencing on the 1st of the month and concluding at the end of the month.

1. **Summer Internships:** shall be conducted during the months of May &amp; June.1. **Winter Internships:** shall be conducted during the months of December &amp; January. 
<br>","- The applicant should be an Indian Citizen.
  - The applicant should not be in a regular job, either in Public/ Private Sector.
  - The applicant should not be more than 30 years of age.
  - Students pursuing graduation/post-graduation/Diploma in any of the following subjects.

   1. Any subject related to Wildlife Management/Conservation/Protection.
   1. Zoology.
   1. Botany.
   1. Law.

<br>

<br>

<br>","[Offline]
Step 1: Interested students may apply only in the prescribed format given in Annexure.
Step 2: Application must contain a recommendation of the Head of Institute on official letterhead from the academic institution where the candidate is pursuing
his/her studies.
Step 3: The Application in the prescribed format, complete in all respects, may be sent by post to reach: The Additional Director, Wildlife Crime Control Bureau, 2nd Floor, Trikoot-I, Bhikaji Cama Place, New Delhi - 110 066
Note:Envelope carrying application should be super scribed “Application for Internship for Month/Year”.
The Application should reach this office 5 weeks before the proposed date of commencement of the internship.","Duty Filled Application Form.
Copy of self-attested two proofs of identity, one being an Aadhar Card.
Curriculum Vitae. 
Recommendation letter of the Head of Institution on official letterhead from the academic institution where the candidate is pursuing his/her studies. 
Self-attested certificates of educational qualifications, etc., mentioned in the application form.",https://www.rmlh.nic.in/WriteReadData/RTF/22afece0bf8-e39c-4111-bc48-97b676f48668.pdf,https://www.myscheme.gov.in/schemes/ipwccb,,30.0,all,[],,both,"[""All""]",False,False,2026-07-05 10:06:56.195+00
igfhaluk,Investment Grant for Farmers with More than 2 Hectares of Agricultural Land,The scheme aims to provide financial assistance to farmers owning more than 2 hectares of agricultural land who suffer crop losses due to natural disasters.,,Department Of Disaster Management,Uttarakhand,"Agriculture,Rural & Environment",Individual,"Under this scheme:

   1. ₹8,500/- per hectare for unirrigated areas.
   1. ₹17,000/- per hectare for areas with assured irrigation.
   1. ₹22,500/- per hectare for all types of evergreen crops. 

In cases where crop damage exceeds 33%, assistance will be provided only up to a maximum limit of 2 hectares per farmer.
<br>","1. The applicant must be a resident farmer of Uttarakhand engaged in agricultural activities within the state.
   1. The financial assistance will be applicable only for the area actually sown with crops.

<br>","[Offline]
Information about the disaster and the resulting damage is received from various sources. The concerned Patwari verifies the damage and records it in the P-20 form. The Patwari’s report is subsequently verified by the Tehsildar and the Sub-Divisional Magistrate. Approval is then obtained from the District Magistrate. Once the District Magistrate’s approval is received, relief funds are disbursed to the concerned beneficiaries at the Tehsil level.","Form P-20 Entry Confirmation (recorded by the concerned Patwari)
Other supporting documents as required",https://uk.gov.in/department92/library_file/file-04-12-2023-06-02-23.pdf,https://www.myscheme.gov.in/schemes/igfhaluk,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 09:49:52.929+00
ilpcpmppe,"Issuing Legal Production Certificate (LPC) to Producers of Medicinal Plant Products for Export - Herbal Research and Development Institute, Uttarakhand","The scheme aims to facilitate the lawful export of endangered and CITES-listed medicinal plant species such as Kuth, Kutki, etc. by issuing Legal Production Certificates (LPC) to cultivators who legally grow these species on their own measured land.",,Horticulture Department,Uttarakhand,Business & Entrepreneurship,Individual,"There is a ban on the export of products of certain endangered and CITES species, but the objective of this policy is to facilitate the export of endangered species like Kuth, Kutki, etc. produced legally in the measured land.
<br>","- The applicant must be a resident of Uttarakhand.
- The applicant must be legally cultivating endangered plants such as Kutha, Kutki, etc., on their own measured land.

<br>","[Offline]
To apply, the cultivator must submit a demand letter from the importer along with the registration certificate issued by the Herbal Research and Development Institute, mandal gopeshwar chamoli and the pass issued by the Bhesaj Vikas Ikai. These documents must be submitted to the Herbal Research and Development Institute. The Institute, after requesting the concerned Divisional Forest Officer, and along with the Forest Department, Bhesaj Vikas Ikai, and the Herbal Research and Development Institute, conducts a joint physical verification. Based on this verification, the concerned Divisional Forest Officer is recommended to issue the LPC. Thereafter, the LPC is issued by the Forest Department under the Wildlife Protection Act of India.","Letter of demand from the importer
Registration certificate issued by the Herbal Research and Development Institute
Challan issued by the Bhesaj Vikas Ikai
Other supporting documents as required",https://uk.gov.in/department92/library_file/file-04-12-2023-06-02-23.pdf,https://www.myscheme.gov.in/schemes/ilpcpmppe,,,all,[],,both,"[""Uttarakhand""]",False,False,2026-07-05 10:05:23.879+00
